ablation,f1_mean,f1_std,roc_auc_mean,roc_auc_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std
fusion,0.6919553806928761,0.02840304967628561,0.5004084041461988,0.014043907414038385,0.5022623526632815,0.0018610140364889005,0.530798117099487,0.032921939608085905
numeric_only,0.6912371787212472,0.028545581095460935,0.5185018283329018,0.0076647785377681014,0.5015686110995212,0.0026557703726980504,0.5300118122035931,0.03327281354654742
news_only,0.6912232966272641,0.028492860822375107,0.5021109218213652,0.00931911543348223,0.5,0.0,0.5287212848856685,0.03311485274720901
